track_id,artists,album_name,name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,music_genre
2P7MjfY0QD7jPeYfksJDdV,Rahul Deshpande;Jidnesh Vaze,Me Vasantrao (Original Motion Picture Soundtrack),Lalana,32,212068,False,0.619,0.626,10,-4.484,0,0.0368,0.555,0.0,0.308,0.815,72.265,4,Classical
2C9ZfqsCQ2bSI51q4uJHaU,Wolfgang Amadeus Mozart;Florian Birsak,Mozart - All Day Classics,"Modulating Prelude, K.284a/2",24,42586,False,0.534,0.15,0,-14.58,0,0.0422,0.984,0.2,0.248,0.53,84.359,4,Classical
1AypLOhAhLxEDCOy5XGxLM,Wolfgang Amadeus Mozart;Danielle Laval,Mozart - All Day Classics,"Nine Variations in D, K.573 on a minuet by J.P. Duport: 7a. Variation VI - Pt. 1",16,63893,False,0.457,0.0343,2,-27.041,0,0.0465,0.989,0.953,0.0988,0.435,71.381,3,Classical
70HFIHUgLlQTDIU17WKeEQ,Wolfgang Amadeus Mozart;Mao Fujita,Mozart: The Complete Piano Sonatas,"Piano Sonata No. 16 in C Major, K. 545 ""Sonata facile"": II. Andante",32,293866,False,0.384,0.0687,7,-30.411,1,0.0451,0.992,0.94,0.141,0.417,137.211,4,Classical
3Te9Xd6Xe9VlNYShcOthTV,Priya Sisters,Annamayya Pushpanjali,Govinda Govinda,35,324265,False,0.595,0.657,8,-5.418,1,0.0298,0.735,0.0,0.387,0.782,102.321,4,Classical
4ve3FEyrdB3oNyT4Zwl7c7,Wolfgang Amadeus Mozart;Danielle Laval,Mozart: A Night of Classics,"6 Variations in F, K.54: 2. Variation I",24,51223,False,0.234,0.112,5,-28.132,1,0.0449,0.994,0.903,0.14,0.769,157.187,4,Classical
48i1p3R9l9f7zjcHPJysZZ,Ludovico Einaudi,Underwater,Wind Song,65,198649,False,0.339,0.00572,11,-32.309,0,0.0378,0.986,0.923,0.103,0.0616,72.7,3,Classical
3lSOZb5rruEnFbe9xWELF6,Fabrizio Paterlini,Fragments Found,Rue des trois frères,65,111442,False,0.348,0.169,1,-18.45,1,0.0413,0.959,0.889,0.1,0.107,138.877,3,Classical
31MPMuJJoYfX91Myeqi8ob,Wolfgang Amadeus Mozart;Danielle Laval,Mozart - Inspiring Classics,"9 Variations on a Minuet by J.P. Duport in D, K.573: 8. Variation VII",4,62325,False,0.354,0.194,2,-20.373,1,0.034,0.989,0.961,0.251,0.67,145.106,3,Classical
79K4b21afCoS5rOV2g47h2,Pyotr Ilyich Tchaikovsky;phil Blech Wien;Anton Mittermayr,Classical Christmas,"Der Nussknacker, Op. 71: Ouvertüre",0,193733,False,0.707,0.261,5,-14.57,1,0.0559,0.994,0.904,0.0724,0.576,117.466,4,Classical
3rLobQ54GYexb7HyFZS8J0,Wolfgang Amadeus Mozart;Academy of St. Martin in the Fields;Sir Neville Marriner,Mozart: A Night of Classics,"Six German Dances, K.509: No. 1 in C",7,95706,False,0.413,0.0509,2,-18.693,1,0.0375,0.965,0.902,0.24,0.514,93.116,4,Classical
1YiKbubLpCNli6Bu70y0Mf,Johann Sebastian Bach;Daniel Hope;Lorenza Borrani;Lucy Gould;Stewart Eaton;William Conway;Enno Senft;Stefan Maass;Stefan Rath,Classical Christmas 2022,"Suite No. 3 in D Major, BWV 1068: II. Air",0,301333,False,0.169,0.049,2,-23.409,1,0.0385,0.956,0.017,0.15,0.0799,136.065,4,Classical
5IoO5ivp4YvNtgp96nZL3W,Sirkazhi Govindarajan,Vinayagar - Murugan Songs Tamil Devotionl -Revival,Chuzhi Pottu Revival,29,205689,False,0.376,0.574,7,-10.636,1,0.0575,0.942,0.0283,0.37,0.912,89.724,3,Classical
4DWttivSdv7MIRbuRcE0Vc,Wolfgang Amadeus Mozart;Danielle Laval,Mozart - Inspiring Classics,"8 Variations on ‘Dieu d'amour’ from ‘Les mariages samnites’ by Grétry in F, K.352: 1. Theme",1,96880,False,0.522,0.0141,5,-24.694,1,0.104,0.996,0.911,0.0955,0.642,163.216,4,Classical
2nYrRZDwNr6PozbY68pTF8,Wolfgang Amadeus Mozart;Arthur Grumiaux;Walter Klien,Mozart - All Day Classics,"Sonata for Piano and Violin in E flat, K.481: 3f. Variation 5",9,75986,False,0.336,0.155,0,-20.784,0,0.0399,0.99,0.791,0.153,0.871,166.114,3,Classical
4N9wT4gXdCIVIoyYrGQ5ms,Wolfgang Amadeus Mozart;Wiener Mozart Ensemble;Willi Boskovsky,Mozart - All Day Classics,"Contredanse in E flat, K.607 ""Il Trionfo delle Donne""",8,85000,False,0.636,0.203,3,-14.286,1,0.0412,0.964,0.326,0.171,0.717,118.5,4,Classical
